"","Estimate.x","Std. Error.x","t value.x","cat","lo_2.5.x","hi_97.5.x","est.x","Estimate.y","Std. Error.y","t value.y","lo_2.5.y","hi_97.5.y","est.y","Estimate.x.x","Std. Error.x.x","t value.x.x","lo_2.5.x.x","hi_97.5.x.x","est.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","lo_2.5.y.y","hi_97.5.y.y","est.y.y","Estimate","Std. Error","t value","lo_2.5","hi_97.5","est"
"15",12.18,0.89,13.65,"(Intercept)",10.43,13.92,"12.18(10.43-13.92)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"16",-0.13,0.96,-0.14,"race_eth_i2_NH-White",-2.02,1.75,"-0.13(-2.02-1.75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.06,1.23,0.05,"race_eth_i3_NH-Black",-2.35,2.48,"0.06(-2.35-2.48)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-1.6,1.59,-1,"race_eth_i4_NH-Asian",-4.72,1.53,"-1.6(-4.72-1.53)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-0.94,2.45,-0.38,"race_eth_i5_NH-Other",-5.75,3.87,"-0.94(-5.75-3.87)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10.48,0.47,22.4,"(Intercept)",9.56,11.39,"10.48(9.56-11.39)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"21",2.11,0.84,2.51,"pol_catind",0.46,3.76,"2.11(0.46-3.76)",NA,NA,NA,NA,NA,NA,1.58,0.82,1.93,-0.02,3.18,"1.58(-0.02-3.18)",NA,NA,NA,NA,NA,NA,1.58,0.78,2.04,0.06,3.1,"1.58(0.06-3.1)"
"22",2.15,0.89,2.41,"pol_catrep",0.4,3.89,"2.15(0.4-3.89)",NA,NA,NA,NA,NA,NA,1.68,0.89,1.89,-0.06,3.41,"1.68(-0.06-3.41)",NA,NA,NA,NA,NA,NA,1.3,0.84,1.54,-0.35,2.95,"1.3(-0.35-2.95)"
"23",3.23,0.77,4.2,"pol_catunk",1.72,4.74,"3.23(1.72-4.74)",NA,NA,NA,NA,NA,NA,1.5,0.77,1.94,-0.01,3.01,"1.5(-0.01-3.01)",NA,NA,NA,NA,NA,NA,1.12,0.73,1.53,-0.31,2.56,"1.12(-0.31-2.56)"
"24",10.07,0.58,17.28,"(Intercept)",8.93,11.22,"10.07(8.93-11.22)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"25",2.2,0.69,3.19,"hh_cat2-4",0.85,3.55,"2.2(0.85-3.55)",NA,NA,NA,NA,NA,NA,1.35,0.68,1.98,0.02,2.67,"1.35(0.02-2.67)",NA,NA,NA,NA,NA,NA,0.95,0.64,1.47,-0.31,2.21,"0.95(-0.31-2.21)"
"26",7.22,1.35,5.34,"hh_cat5+",4.57,9.86,"7.22(4.57-9.86)",NA,NA,NA,NA,NA,NA,4.03,1.38,2.91,1.32,6.73,"4.03(1.32-6.73)",NA,NA,NA,NA,NA,NA,3.56,1.31,2.71,0.99,6.13,"3.56(0.99-6.13)"
"27",12.26,0.38,32.01,"(Intercept)",11.51,13.01,"12.26(11.51-13.01)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"28",-0.7,0.62,-1.13,"gender_iMale",-1.93,0.52,"-0.7(-1.93-0.52)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",12.65,0.44,28.99,"(Intercept)",11.79,13.5,"12.65(11.79-13.5)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"30",-1.26,0.6,-2.08,"comorb_catY",-2.44,-0.08,"-1.26(-2.44--0.08)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",17.22,0.46,37.64,"(Intercept)",16.32,18.12,"17.22(16.32-18.12)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"32",-8.25,0.79,-10.39,"emp_catemp_noleave",-9.81,-6.7,"-8.25(-9.81--6.7)",NA,NA,NA,NA,NA,NA,-7.51,0.8,-9.34,-9.09,-5.94,"-7.51(-9.09--5.94)",NA,NA,NA,NA,NA,NA,-5.06,0.78,-6.5,-6.58,-3.54,"-5.06(-6.58--3.54)"
"33",-9.4,0.66,-14.29,"emp_catno_emp",-10.69,-8.11,"-9.4(-10.69--8.11)",NA,NA,NA,NA,NA,NA,-7.76,0.75,-10.29,-9.24,-6.29,"-7.76(-9.24--6.29)",NA,NA,NA,NA,NA,NA,-5.31,0.73,-7.26,-6.74,-3.88,"-5.31(-6.74--3.88)"
"34",-9.08,3.04,-2.99,"emp_catunk",-15.04,-3.13,"-9.08(-15.04--3.13)",NA,NA,NA,NA,NA,NA,-9.28,3.04,-3.06,-15.21,-3.35,"-9.28(-15.21--3.35)",NA,NA,NA,NA,NA,NA,-6.9,2.88,-2.39,-12.53,-1.27,"-6.9(-12.53--1.27)"
"35",8.88,0.32,28.02,"(Intercept)",8.26,9.5,"8.88(8.26-9.5)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"36",0.35,0.02,20.62,"all_cont_r1",0.32,0.39,"0.35(0.32-0.39)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.02,20.02,0.31,0.38,"0.35(0.31-0.38)",0.28,0.02,15.95,0.25,0.32,"0.28(0.25-0.32)"
"37",10.33,0.71,14.47,"(Intercept)",8.94,11.73,"10.33(8.94-11.73)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"38",0.33,0.76,0.44,"variant_worry2",-1.15,1.81,"0.33(-1.15-1.81)",0.5,0.75,0.66,-0.98,1.98,"0.5(-0.98-1.98)",0.23,0.75,0.31,-1.25,1.71,"0.23(-1.25-1.71)",0.39,0.74,0.53,-1.05,1.84,"0.39(-1.05-1.84)",0.18,0.74,0.24,-1.28,1.63,"0.18(-1.28-1.63)"
"39",2.72,0.79,3.46,"variant_worry3",1.18,4.26,"2.72(1.18-4.26)",2.35,0.79,2.97,0.8,3.91,"2.35(0.8-3.91)",1.33,0.8,1.67,-0.23,2.89,"1.33(-0.23-2.89)",1.95,0.77,2.52,0.44,3.47,"1.95(0.44-3.47)",1.15,0.78,1.46,-0.39,2.68,"1.15(-0.39-2.68)"
"40",5.04,1.26,4.01,"variant_worry4",2.58,7.51,"5.04(2.58-7.51)",3.55,1.28,2.78,1.05,6.06,"3.55(1.05-6.06)",2.35,1.27,1.85,-0.15,4.84,"2.35(-0.15-4.84)",3.43,1.26,2.73,0.97,5.89,"3.43(0.97-5.89)",2.43,1.26,1.93,-0.04,4.89,"2.43(-0.04-4.89)"
"41",9.24,1.39,6.66,"variant_worry5",6.52,11.95,"9.24(6.52-11.95)",7.67,1.4,5.47,4.92,10.42,"7.67(4.92-10.42)",6.23,1.4,4.46,3.5,8.97,"6.23(3.5-8.97)",7.15,1.38,5.19,4.45,9.85,"7.15(4.45-9.85)",5.98,1.38,4.33,3.28,8.68,"5.98(3.28-8.68)"
"42",15.66,0.51,30.84,"(Intercept)",14.67,16.66,"15.66(14.67-16.66)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"43",-0.13,0.01,-8.99,"StringencyIndex",-0.16,-0.1,"-0.13(-0.16--0.1)",-0.11,0.02,-4.91,-0.15,-0.06,"-0.11(-0.15--0.06)",-0.06,0.02,-2.93,-0.11,-0.02,"-0.06(-0.11--0.02)",-0.09,0.02,-4.15,-0.13,-0.05,"-0.09(-0.13--0.05)",-0.06,0.02,-2.67,-0.1,-0.02,"-0.06(-0.1--0.02)"
"44",12.62,0.32,39.94,"(Intercept)",12,13.24,"12.62(12-13.24)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"45",-2.48,0.77,-3.21,"string_cat2",-4,-0.97,"-2.48(-4--0.97)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",-4.33,0.69,-6.29,"string_cat3",-5.68,-2.98,"-4.33(-5.68--2.98)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",6.59,12.71,0.52,"string_cat4",-18.32,31.51,"6.59(-18.32-31.51)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
