,Estimate.x,Std. Error.x,t value.x,cat,lo_2.5.x,hi_97.5.x,est.x,Estimate.y,Std. Error.y,t value.y,lo_2.5.y,hi_97.5.y,est.y,Estimate.x.x,Std. Error.x.x,t value.x.x,lo_2.5.x.x,hi_97.5.x.x,est.x.x,Estimate.y.y,Std. Error.y.y,t value.y.y,lo_2.5.y.y,hi_97.5.y.y,est.y.y,Estimate,Std. Error,t value,lo_2.5,hi_97.5,est
22,0.52,0.75,0.7,pol_catrep,-0.94,1.99,0.52(-0.94-1.99),NA,NA,NA,NA,NA,NA,0.41,0.78,0.52,-1.13,1.94,0.41(-1.13-1.94),NA,NA,NA,NA,NA,NA,0.65,0.77,0.84,-0.87,2.16,0.65(-0.87-2.16)
23,0.16,0.65,0.25,pol_catunk,-1.1,1.43,0.16(-1.1-1.43),NA,NA,NA,NA,NA,NA,0.08,0.68,0.11,-1.26,1.42,0.08(-1.26-1.42),NA,NA,NA,NA,NA,NA,0.35,0.68,0.51,-0.97,1.67,0.35(-0.97-1.67)
24,1.7,0.49,3.47,(Intercept),0.74,2.66,1.7(0.74-2.66),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
25,0.09,0.58,0.15,hh_cat2-4,-1.05,1.22,0.09(-1.05-1.22),NA,NA,NA,NA,NA,NA,0.16,0.59,0.26,-1.01,1.32,0.16(-1.01-1.32),NA,NA,NA,NA,NA,NA,0.45,0.59,0.77,-0.7,1.6,0.45(-0.7-1.6)
26,1.4,1.14,1.24,hh_cat5+,-0.82,3.63,1.4(-0.82-3.63),NA,NA,NA,NA,NA,NA,0.93,1.22,0.76,-1.45,3.32,0.93(-1.45-3.32),NA,NA,NA,NA,NA,NA,1.27,1.21,1.05,-1.09,3.63,1.27(-1.09-3.63)
27,1.83,0.32,5.73,(Intercept),1.21,2.46,1.83(1.21-2.46),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
28,0.04,0.52,0.07,gender_iMale,-0.99,1.06,0.04(-0.99-1.06),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1.92,0.36,5.26,(Intercept),1.2,2.63,1.92(1.2-2.63),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
30,-0.14,0.51,-0.27,comorb_catY,-1.13,0.85,-0.14(-1.13-0.85),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1.7,0.4,4.26,(Intercept),0.92,2.48,1.7(0.92-2.48),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
32,0.58,0.69,0.84,emp_catemp_noleave,-0.77,1.94,0.58(-0.77-1.94),NA,NA,NA,NA,NA,NA,0.54,0.71,0.77,-0.84,1.92,0.54(-0.84-1.92),NA,NA,NA,NA,NA,NA,-1.27,0.71,-1.79,-2.67,0.12,-1.27(-2.67-0.12)
33,-0.06,0.57,-0.1,emp_catno_emp,-1.18,1.06,-0.06(-1.18-1.06),NA,NA,NA,NA,NA,NA,0.16,0.66,0.24,-1.13,1.46,0.16(-1.13-1.46),NA,NA,NA,NA,NA,NA,-1.66,0.67,-2.48,-2.97,-0.35,-1.66(-2.97--0.35)
34,-0.24,2.65,-0.09,emp_catunk,-5.43,4.95,-0.24(-5.43-4.95),NA,NA,NA,NA,NA,NA,-0.24,2.65,-0.09,-5.43,4.95,-0.24(-5.43-4.95),NA,NA,NA,NA,NA,NA,-2,2.62,-0.76,-7.14,3.13,-2(-7.14-3.13)
35,3.71,0.28,13.08,(Intercept),3.15,4.26,3.71(3.15-4.26),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
36,-0.21,0.02,-13.79,all_cont_r1,-0.24,-0.18,-0.21(-0.24--0.18),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19,0.02,-12.26,-0.22,-0.16,-0.19(-0.22--0.16),-0.21,0.02,-12.99,-0.24,-0.18,-0.21(-0.24--0.18)
37,1.68,0.76,2.19,(Intercept),0.18,3.18,1.68(0.18-3.18),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
38,-0.44,0.85,-0.52,variant_worry2,-2.11,1.23,-0.44(-2.11-1.23),-0.41,0.86,-0.48,-2.09,1.26,-0.41(-2.09-1.26),-0.38,0.87,-0.44,-2.09,1.32,-0.38(-2.09-1.32),-0.41,0.85,-0.48,-2.06,1.25,-0.41(-2.06-1.25),-0.42,0.86,-0.49,-2.1,1.26,-0.42(-2.1-1.26)
39,0.44,0.87,0.51,variant_worry3,-1.26,2.14,0.44(-1.26-2.14),0.51,0.88,0.58,-1.21,2.22,0.51(-1.21-2.22),0.28,0.9,0.31,-1.49,2.04,0.28(-1.49-2.04),0.86,0.87,0.99,-0.84,2.56,0.86(-0.84-2.56),0.46,0.89,0.51,-1.29,2.2,0.46(-1.29-2.2)
40,1.92,1.48,1.3,variant_worry4,-0.98,4.82,1.92(-0.98-4.82),1.61,1.5,1.07,-1.33,4.55,1.61(-1.33-4.55),1.15,1.51,0.76,-1.81,4.12,1.15(-1.81-4.12),1.69,1.49,1.14,-1.22,4.6,1.69(-1.22-4.6),0.94,1.5,0.63,-1.99,3.87,0.94(-1.99-3.87)
41,5.1,1.6,3.18,variant_worry5,1.95,8.24,5.1(1.95-8.24),4.94,1.62,3.04,1.76,8.12,4.94(1.76-8.12),4.71,1.64,2.86,1.49,7.92,4.71(1.49-7.92),5.47,1.61,3.41,2.33,8.62,5.47(2.33-8.62),5,1.62,3.08,1.83,8.18,5(1.83-8.18)
42,2.93,0.58,5.09,(Intercept),1.8,4.06,2.93(1.8-4.06),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
43,-0.04,0.02,-2.1,StringencyIndex,-0.07,0,-0.04(-0.07-0),0,0.02,-0.1,-0.05,0.04,0(-0.05-0.04),0,0.02,-0.01,-0.05,0.05,0(-0.05-0.05),-0.02,0.02,-0.74,-0.06,0.03,-0.02(-0.06-0.03),-0.01,0.02,-0.3,-0.05,0.04,-0.01(-0.05-0.04)
44,2.08,0.28,7.46,(Intercept),1.53,2.63,2.08(1.53-2.63),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
45,-1.46,0.94,-1.55,string_cat2,-3.3,0.39,-1.46(-3.3-0.39),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,-1.19,0.85,-1.4,string_cat3,-2.85,0.47,-1.19(-2.85-0.47),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1.92,15.16,0.13,string_cat4,-27.79,31.63,1.92(-27.79-31.63),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
